ube-109_jp 0 0.365625 0.33671875 0.01640625 0.03046875
ube-11_jpg 0 0.40078125 0.41015625 0.02265625 0.02265625

ube-11_jpg 0 0.59375 0.53125 0.0234375 0.03046875
ube-137_jp 0 0.5546875 0.55546875 0.01796875 0.02578125
ube-159_jp 0 0.55078125 0.5484375 0.01953125 0.028125
ube-166_jp 0 0.55 0.53125 0.01640625 0.0328125

ube-166_jp 0 0.38671875 0.4109375 0.01484375 0.028125
ube-191_jp 0 0.2765625 0.33984375 0.0203125 0.02734375

ube-191_jp 0 0.6015625 0.5265625 0.025 0.0359375
ube-195_jp 0 0.35078125 0.39296875 0.021875 0.025
ube-199_jp 0 0.634375 0.30390625 0.01640625 0.0375

ube-199_jp 0 0.40625 0.42890625 0.01640625 0.03046875
ube-223_jp 0 0.4 0.3953125 0.01953125 0.03203125

ube-223_jp 0 0.5859375 0.6078125 0.021875 0.03828125
ube-233_jp 0 0.4109375 0.42890625 0.021875 0.03203125

ube-233_jp 0 0.6234375 0.41640625 0.0203125 0.0359375
ube-259_jp 0 0.3265625 0.42578125 0.02578125 0.028125
ube-265_jp 0 0.63671875 0.49921875 0.01640625 0.00703125
ube-27_jpg 0 0.67734375 0.30546875 0.01640625 0.040625

ube-27_jpg 0 0.4078125 0.425 0.01953125 0.03046875
ube-283_jp 0 0.34765625 0.36796875 0.021875 0.0171875
ube-285_jp 0 0.6328125 0.5671875 0.02109375 0.02890625

ube-285_jp 0 0.39453125 0.38515625 0.01875 0.01796875
ube-303_jp 0 0.34765625 0.24921875 0.01875 0.03203125

ube-303_jp 0 0.5453125 0.54921875 0.01953125 0.02421875
ube-304_jp 0 0.36015625 0.43984375 0.01640625 0.02421875
ube-313_jp 0 0.334375 0.40703125 0.0140625 0.03046875
ube-342_jp 0 0.353125 0.49375 0.0265625 0.034375

ube-342_jp 0 0.94296875 0.55390625 0.0234375 0.04140625
ube-353_jp 0 0.328125 0.42890625 0.021875 0.02578125

ube-353_jp 0 0.5546875 0.48515625 0.01875 0.01328125
ube-363_jp 0 0.63515625 0.571875 0.02109375 0.0375
ube-385_jp 0 0.4140625 0.4296875 0.01484375 0.03203125

ube-385_jp 0 0.684375 0.534375 0.0171875 0.03671875
ube-402_jp 0 0.39453125 0.41796875 0.0328125 0.02578125

ube-402_jp 0 0.58828125 0.5328125 0.015625 0.03125
